Date,Open,High,Low,Close,Adj Close,Volume
2020-12-09,141.449997,147.250000,136.600006,136.929993,136.929993,4232500
2020-12-10,137.320007,139.009995,134.539993,137.460007,137.460007,2208600
2020-12-11,137.500000,141.190002,136.240005,138.699997,138.699997,1828700
2020-12-14,139.429993,142.589996,136.679993,137.729996,137.729996,3124800
2020-12-15,139.720001,140.449997,135.130005,137.610001,137.610001,2426600
2020-12-16,138.149994,141.600006,137.630005,139.369995,139.369995,2210300
2020-12-17,140.000000,143.899994,138.899994,143.229996,143.229996,2947200
2020-12-18,143.229996,145.789993,141.899994,144.729996,144.729996,2686600
2020-12-21,141.000000,143.399994,138.110001,138.570007,138.570007,3127400
2020-12-22,140.000000,141.460007,136.419998,138.679993,138.679993,2285700
2020-12-23,138.710007,141.169998,136.139999,139.919998,139.919998,1790800
2020-12-24,139.589996,140.399994,135.059998,136.589996,136.589996,1969700
2020-12-28,136.643005,137.350006,126.330002,126.440002,126.440002,5988600
2020-12-29,127.769997,129.919998,123.879997,125.900002,125.900002,3489600
2020-12-30,126.790001,128.580002,125.059998,126.489998,126.489998,2606000
2020-12-31,126.559998,126.620003,123.220001,125.000000,125.000000,2650100
2021-01-04,125.830002,126.080002,121.599998,125.570000,125.570000,2912300
2021-01-05,125.550003,128.880005,124.320000,126.070000,126.070000,2370800
2021-01-06,123.285004,125.769997,117.360001,117.629997,117.629997,8515500
2021-01-07,119.500000,121.500000,116.500000,120.699997,120.699997,4585100
2021-01-08,121.199997,121.489998,116.737000,118.099998,118.099998,4443900
2021-01-11,116.709999,117.980003,114.050003,116.639999,116.639999,3986300
2021-01-12,117.449997,120.699997,116.120003,120.510002,120.510002,3258900
2021-01-13,120.930000,128.809998,120.214996,125.349998,125.349998,5691100
2021-01-14,130.496994,144.779999,129.500000,142.470001,142.470001,12970600
2021-01-15,138.746994,143.800003,135.830002,140.100006,140.100006,5558700
2021-01-19,141.160004,143.460007,136.509995,141.639999,141.639999,3386900
2021-01-20,138.190002,140.472000,134.270004,135.210007,135.210007,3980500
2021-01-21,136.149994,137.089996,132.000000,134.610001,134.610001,2735300
2021-01-22,133.960007,142.929993,133.029999,140.699997,140.699997,4353700
2021-01-25,141.889999,164.251007,141.759995,158.729996,158.729996,12868800
2021-01-26,218.899994,221.000000,183.600006,186.830002,186.830002,33562100
2021-01-27,182.800003,203.440002,182.300003,192.080002,192.080002,9672500
2021-01-28,187.244995,192.000000,177.000000,179.789993,179.789993,4443200
2021-01-29,178.899994,189.369995,177.440002,178.080002,178.080002,3136500
2021-02-01,179.630005,181.000000,170.830994,177.970001,177.970001,3048200
